metric,value,step
em_Walmart-Amazon_da_dm_id_1_size_450,0.0,8.0
em_Walmart-Amazon_da_dm_id_1_size_450,0.0,9.0
em_Walmart-Amazon_da_dm_id_1_size_450,0.0,10.0
em_Walmart-Amazon_da_dm_id_1_size_450,0.0,11.0
em_Walmart-Amazon_da_dm_id_1_size_450,0.0,12.0
em_Walmart-Amazon_da_dm_id_1_size_450,0.0,13.0
em_Walmart-Amazon_da_dm_id_1_size_450,0.0,14.0
em_Walmart-Amazon_da_dm_id_1_size_450,0.0,15.0
em_Walmart-Amazon_da_dm_id_1_size_450,0.0,16.0
em_Walmart-Amazon_da_dm_id_1_size_450,0.0,17.0
em_Walmart-Amazon_da_dm_id_1_size_450,0.0,18.0
em_Walmart-Amazon_da_dm_id_1_size_450,0.0,19.0
em_Walmart-Amazon_da_dm_id_1_size_450,0.0,20.0
em_Amazon-Google_da_dm_id_3_size_450,0.0,1.0
em_Amazon-Google_da_dm_id_3_size_450,0.0,2.0
em_Amazon-Google_da_dm_id_3_size_450,0.0,3.0
em_Amazon-Google_da_dm_id_3_size_450,0.0,4.0
em_Amazon-Google_da_dm_id_3_size_450,0.0,5.0
em_Amazon-Google_da_dm_id_3_size_450,0.0,6.0
em_Amazon-Google_da_dm_id_3_size_450,0.0,7.0
em_Amazon-Google_da_dm_id_3_size_450,0.125,8.0
em_Amazon-Google_da_dm_id_3_size_450,0.3414634168148041,9.0
em_Amazon-Google_da_dm_id_3_size_450,0.12903225421905518,10.0
em_Amazon-Google_da_dm_id_3_size_450,0.17142857611179352,11.0
em_Amazon-Google_da_dm_id_3_size_450,0.20512820780277252,12.0
em_Amazon-Google_da_dm_id_3_size_450,0.35555556416511536,13.0
em_Amazon-Google_da_dm_id_3_size_450,0.3255814015865326,14.0
em_Amazon-Google_da_dm_id_3_size_450,0.3333333432674408,15.0
em_Amazon-Google_da_dm_id_3_size_450,0.36734694242477417,16.0
em_Amazon-Google_da_dm_id_3_size_450,0.3181818127632141,17.0
em_Amazon-Google_da_dm_id_3_size_450,0.3333333432674408,18.0
em_Amazon-Google_da_dm_id_3_size_450,0.3181818127632141,19.0
em_Amazon-Google_da_dm_id_3_size_450,0.3181818127632141,20.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_baseline_alpha_0.8_id_1_size_300,0.08291032165288925,1.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_baseline_alpha_0.8_id_1_size_300,0.0,2.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_baseline_alpha_0.8_id_1_size_300,0.0,3.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_baseline_alpha_0.8_id_1_size_300,0.0,4.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_baseline_alpha_0.8_id_1_size_300,0.42450764775276184,5.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_baseline_alpha_0.8_id_1_size_300,0.8410501480102539,6.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_baseline_alpha_0.8_id_1_size_300,0.8575525879859924,7.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_baseline_alpha_0.8_id_1_size_300,0.8845296502113342,8.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_baseline_alpha_0.8_id_1_size_300,0.8972868323326111,9.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_baseline_alpha_0.8_id_1_size_300,0.8408728241920471,10.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_baseline_alpha_0.8_id_1_size_300,0.909731388092041,11.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_baseline_alpha_0.8_id_1_size_300,0.8949186205863953,12.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_baseline_alpha_0.8_id_1_size_300,0.917422890663147,13.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_baseline_alpha_0.8_id_1_size_300,0.9095966815948486,14.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_baseline_alpha_0.8_id_1_size_300,0.8965517282485962,15.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_baseline_alpha_0.8_id_1_size_300,0.9052333831787109,16.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_baseline_alpha_0.8_id_1_size_300,0.907321572303772,17.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_baseline_alpha_0.8_id_1_size_300,0.9068149924278259,18.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_baseline_alpha_0.8_id_1_size_300,0.9068149924278259,19.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_baseline_alpha_0.8_id_1_size_300,0.9068149924278259,20.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_4_size_600,0.0,1.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_4_size_600,0.0,2.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_4_size_600,0.0,3.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_4_size_600,0.0,4.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_4_size_600,0.0,5.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_4_size_600,0.0,6.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_4_size_600,0.0,7.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_4_size_600,0.0,8.0
em_Walmart-Amazon-dirty_lm_roberta_da_None_alpha_0.8_id_4_size_600,0.0,9.0
